day,p3,p15,p50,p85,p97
68,4.569,5.084,5.778,6.547,7.234
69,4.594,5.11,5.807,6.578,7.266
70,4.618,5.136,5.835,6.608,7.298
71,4.643,5.162,5.863,6.638,7.33
72,4.667,5.187,5.89,6.668,7.362
73,4.691,5.213,5.917,6.698,7.393
74,4.714,5.238,5.945,6.727,7.424
75,4.738,5.263,5.971,6.756,7.455
76,4.761,5.288,5.998,6.784,7.485
77,4.784,5.312,6.024,6.813,7.515
78,4.807,5.336,6.05,6.841,7.545
79,4.829,5.36,6.076,6.868,7.575
80,4.852,5.384,6.102,6.896,7.604
81,4.874,5.408,6.127,6.923,7.633
82,4.896,5.431,6.152,6.95,7.662
83,4.918,5.454,6.177,6.977,7.69
84,4.939,5.477,6.202,7.004,7.718
85,4.961,5.5,6.226,7.03,7.746
86,4.982,5.522,6.251,7.056,7.774
87,5.003,5.545,6.275,7.082,7.801
88,5.024,5.567,6.299,7.108,7.828
89,5.045,5.589,6.322,7.133,7.855
90,5.065,5.611,6.346,7.158,7.882
91,5.086,5.632,6.369,7.183,7.909
92,5.106,5.654,6.392,7.208,7.935
93,5.126,5.675,6.415,7.233,7.961
94,5.146,5.696,6.438,7.257,7.987
95,5.165,5.717,6.46,7.281,8.013
96,5.185,5.738,6.482,7.305,8.038
97,5.204,5.759,6.505,7.329,8.063
98,5.224,5.779,6.527,7.353,8.088
99,5.243,5.799,6.548,7.376,8.113
100,5.262,5.819,6.57,7.399,8.138
101,5.281,5.839,6.591,7.423,8.163
102,5.299,5.859,6.613,7.445,8.187
103,5.318,5.879,6.634,7.468,8.211
104,5.336,5.898,6.655,7.491,8.235
105,5.354,5.917,6.676,7.513,8.259
106,5.372,5.937,6.696,7.535,8.282
107,5.39,5.956,6.717,7.557,8.306
108,5.408,5.975,6.737,7.579,8.329
109,5.426,5.993,6.757,7.601,8.352
110,5.443,6.012,6.777,7.623,8.375
111,5.461,6.03,6.797,7.644,8.398
112,5.478,6.049,6.817,7.665,8.42
113,5.495,6.067,6.837,7.686,8.443
114,5.512,6.085,6.856,7.707,8.465
115,5.529,6.103,6.875,7.728,8.487
116,5.546,6.121,6.895,7.749,8.509
117,5.562,6.138,6.914,7.769,8.531
118,5.579,6.156,6.933,7.79,8.553
119,5.595,6.173,6.951,7.81,8.575
120,5.611,6.191,6.97,7.83,8.596
121,5.628,6.208,6.989,7.85,8.617
122,5.644,6.225,7.007,7.87,8.639
123,5.66,6.242,7.025,7.89,8.66
124,5.675,6.259,7.043,7.91,8.681
125,5.691,6.276,7.062,7.929,8.701
126,5.707,6.292,7.079,7.949,8.722
127,5.722,6.308,7.097,7.968,8.743
128,5.738,6.325,7.115,7.987,8.763
129,5.753,6.341,7.133,8.006,8.783
130,5.768,6.357,7.15,8.025,8.804
131,5.783,6.373,7.167,8.044,8.824
132,5.798,6.389,7.185,8.063,8.844
133,5.813,6.405,7.202,8.081,8.864
134,5.828,6.421,7.219,8.1,8.883
135,5.842,6.436,7.236,8.118,8.903
136,5.857,6.452,7.253,8.136,8.922
137,5.871,6.467,7.269,8.154,8.942
138,5.886,6.483,7.286,8.172,8.961
139,5.9,6.498,7.302,8.19,8.98
140,5.914,6.513,7.319,8.208,8.999
141,5.928,6.528,7.335,8.226,9.018
142,5.942,6.543,7.351,8.243,9.037
143,5.956,6.558,7.367,8.261,9.056
144,5.97,6.573,7.383,8.278,9.075
145,5.983,6.587,7.399,8.296,9.093
146,5.997,6.602,7.415,8.313,9.111
147,6.01,6.616,7.431,8.33,9.13
148,6.024,6.631,7.446,8.347,9.148
149,6.037,6.645,7.462,8.364,9.166
150,6.05,6.659,7.477,8.38,9.184
151,6.063,6.673,7.493,8.397,9.202
152,6.076,6.687,7.508,8.414,9.22
153,6.089,6.701,7.523,8.43,9.238
154,6.102,6.715,7.538,8.447,9.255
155,6.115,6.728,7.553,8.463,9.273
156,6.128,6.742,7.568,8.479,9.29
157,6.14,6.755,7.582,8.495,9.308
158,6.153,6.769,7.597,8.511,9.325
159,6.166,6.782,7.612,8.527,9.342
160,6.178,6.796,7.626,8.543,9.359
161,6.19,6.809,7.641,8.559,9.376
162,6.202,6.822,7.655,8.575,9.393
163,6.215,6.835,7.669,8.59,9.41
164,6.227,6.848,7.683,8.606,9.427
165,6.239,6.861,7.698,8.621,9.443
166,6.251,6.874,7.712,8.636,9.46
167,6.262,6.886,7.726,8.652,9.476
168,6.274,6.899,7.739,8.667,9.493
169,6.286,6.912,7.753,8.682,9.509
170,6.298,6.924,7.767,8.697,9.525
171,6.309,6.937,7.781,8.712,9.541
172,6.321,6.949,7.794,8.727,9.558
173,6.332,6.961,7.808,8.742,9.574
174,6.343,6.974,7.821,8.757,9.59
175,6.355,6.986,7.834,8.771,9.605
176,6.366,6.998,7.848,8.786,9.621
177,6.377,7.01,7.861,8.801,9.637
178,6.388,7.022,7.874,8.815,9.653
179,6.399,7.034,7.887,8.829,9.668
180,6.41,7.046,7.9,8.844,9.684
181,6.421,7.057,7.913,8.858,9.699
182,6.432,7.069,7.926,8.872,9.715
183,6.443,7.081,7.939,8.887,9.73
184,6.454,7.092,7.952,8.9,9.745
185,6.464,7.104,7.964,8.914,9.76
186,6.475,7.115,7.977,8.929,9.776
187,6.486,7.127,7.99,8.942,9.791
188,6.496,7.138,8.002,8.956,9.806
189,6.507,7.15,8.015,8.97,9.821
190,6.517,7.161,8.027,8.984,9.836
191,6.527,7.172,8.039,8.997,9.85
192,6.538,7.183,8.052,9.011,9.865
193,6.548,7.194,8.064,9.024,9.88
194,6.558,7.205,8.076,9.038,9.894
195,6.568,7.216,8.088,9.051,9.909
196,6.578,7.227,8.1,9.064,9.923
197,6.588,7.238,8.112,9.078,9.938
198,6.598,7.249,8.124,9.091,9.952
199,6.608,7.259,8.136,9.104,9.966
200,6.618,7.27,8.148,9.117,9.981
201,6.628,7.281,8.159,9.13,9.995
202,6.638,7.291,8.171,9.143,10.009
203,6.647,7.302,8.183,9.156,10.023
204,6.657,7.312,8.194,9.169,10.037
205,6.667,7.323,8.206,9.182,10.051
206,6.676,7.333,8.217,9.194,10.065
207,6.686,7.343,8.229,9.207,10.079
208,6.695,7.354,8.24,9.22,10.092
209,6.705,7.364,8.251,9.232,10.106
210,6.714,7.374,8.263,9.245,10.12
211,6.723,7.384,8.274,9.257,10.133
212,6.733,7.394,8.285,9.27,10.147
213,6.742,7.404,8.296,9.282,10.16
214,6.751,7.415,8.307,9.294,10.174
215,6.76,7.424,8.318,9.307,10.187
216,6.769,7.434,8.329,9.319,10.201
217,6.779,7.444,8.34,9.331,10.214
218,6.788,7.454,8.351,9.343,10.227
219,6.797,7.464,8.362,9.355,10.24
220,6.805,7.474,8.373,9.367,10.254
221,6.814,7.483,8.384,9.379,10.267
222,6.823,7.493,8.394,9.391,10.28
223,6.832,7.502,8.405,9.403,10.293
224,6.841,7.512,8.416,9.415,10.306
225,6.85,7.522,8.426,9.427,10.319
226,6.858,7.531,8.437,9.439,10.332
227,6.867,7.541,8.447,9.45,10.344
228,6.876,7.55,8.458,9.462,10.357
229,6.884,7.559,8.468,9.474,10.37
230,6.893,7.569,8.479,9.485,10.383
231,6.902,7.578,8.489,9.497,10.395
232,6.91,7.587,8.499,9.508,10.408
233,6.919,7.597,8.51,9.52,10.42
234,6.927,7.606,8.52,9.531,10.433
235,6.935,7.615,8.53,9.542,10.445
236,6.944,7.624,8.54,9.554,10.458
237,6.952,7.633,8.55,9.565,10.47
238,6.96,7.642,8.56,9.576,10.482
239,6.969,7.651,8.57,9.588,10.495
240,6.977,7.66,8.58,9.599,10.507
241,6.985,7.669,8.59,9.61,10.519
242,6.993,7.678,8.6,9.621,10.531
243,7.001,7.687,8.61,9.632,10.543
244,7.009,7.696,8.62,9.643,10.556
245,7.018,7.704,8.63,9.654,10.568
246,7.026,7.713,8.64,9.665,10.58
247,7.034,7.722,8.649,9.676,10.592
248,7.042,7.731,8.659,9.687,10.604
249,7.05,7.739,8.669,9.698,10.616
250,7.057,7.748,8.679,9.708,10.627
251,7.066,7.757,8.688,9.719,10.639
252,7.073,7.765,8.698,9.73,10.651
253,7.081,7.774,8.707,9.741,10.663
254,7.089,7.782,8.717,9.751,10.675
255,7.097,7.791,8.726,9.762,10.686
256,7.105,7.799,8.736,9.773,10.698
257,7.112,7.808,8.745,9.783,10.71
258,7.12,7.816,8.755,9.794,10.721
259,7.128,7.825,8.764,9.804,10.733
260,7.135,7.833,8.774,9.815,10.744
261,7.143,7.841,8.783,9.825,10.756
262,7.151,7.85,8.792,9.836,10.767
263,7.158,7.858,8.802,9.846,10.779
264,7.166,7.866,8.811,9.856,10.79
265,7.173,7.875,8.82,9.867,10.802
266,7.181,7.883,8.829,9.877,10.813
267,7.188,7.891,8.838,9.888,10.824
268,7.196,7.899,8.848,9.898,10.836
269,7.203,7.908,8.857,9.908,10.847
270,7.211,7.916,8.866,9.918,10.858
271,7.218,7.924,8.875,9.928,10.869
272,7.226,7.932,8.884,9.939,10.881
273,7.233,7.94,8.893,9.949,10.892
274,7.24,7.948,8.902,9.959,10.903
275,7.248,7.956,8.911,9.969,10.914
276,7.255,7.964,8.92,9.979,10.925
277,7.262,7.972,8.929,9.989,10.936
278,7.27,7.98,8.938,9.999,10.947
279,7.277,7.988,8.947,10.009,10.958
280,7.284,7.996,8.956,10.019,10.969
281,7.291,8.004,8.964,10.029,10.98
282,7.298,8.011,8.973,10.039,10.991
283,7.306,8.019,8.982,10.049,11.002
284,7.313,8.027,8.991,10.059,11.013
285,7.32,8.035,9,10.069,11.024
286,7.327,8.043,9.008,10.078,11.034
287,7.334,8.051,9.017,10.088,11.045
288,7.341,8.058,9.026,10.098,11.056
289,7.348,8.066,9.034,10.108,11.067
290,7.355,8.074,9.043,10.117,11.077
291,7.362,8.081,9.052,10.127,11.088
292,7.369,8.089,9.06,10.137,11.099
293,7.376,8.097,9.069,10.146,11.109
294,7.383,8.104,9.077,10.156,11.12
295,7.39,8.112,9.086,10.166,11.131
296,7.397,8.12,9.094,10.175,11.141
297,7.404,8.127,9.103,10.185,11.152
298,7.411,8.135,9.111,10.194,11.162
299,7.418,8.142,9.12,10.204,11.173
300,7.425,8.15,9.128,10.213,11.183
301,7.431,8.157,9.137,10.223,11.194
302,7.438,8.165,9.145,10.232,11.204
303,7.445,8.172,9.153,10.242,11.215
304,7.452,8.18,9.162,10.251,11.225
305,7.459,8.187,9.17,10.261,11.236
306,7.466,8.195,9.179,10.27,11.246
307,7.472,8.202,9.187,10.279,11.256
308,7.479,8.209,9.195,10.289,11.267
309,7.486,8.217,9.203,10.298,11.277
310,7.492,8.224,9.212,10.307,11.287
311,7.499,8.231,9.22,10.317,11.298
312,7.506,8.239,9.228,10.326,11.308
313,7.513,8.246,9.236,10.335,11.318
314,7.519,8.253,9.245,10.345,11.328
315,7.526,8.261,9.253,10.354,11.338
316,7.532,8.268,9.261,10.363,11.349
317,7.539,8.275,9.269,10.372,11.359
318,7.546,8.282,9.277,10.381,11.369
319,7.552,8.29,9.285,10.39,11.379
320,7.559,8.297,9.294,10.4,11.389
321,7.565,8.304,9.302,10.409,11.399
322,7.572,8.311,9.31,10.418,11.41
323,7.579,8.318,9.318,10.427,11.42
324,7.585,8.326,9.326,10.436,11.43
325,7.591,8.333,9.334,10.445,11.44
326,7.598,8.34,9.342,10.454,11.45
327,7.604,8.347,9.35,10.463,11.46
328,7.611,8.354,9.358,10.472,11.47
329,7.617,8.361,9.366,10.481,11.48
330,7.624,8.368,9.374,10.49,11.49
331,7.63,8.375,9.382,10.499,11.5
332,7.637,8.382,9.39,10.508,11.509
333,7.643,8.389,9.398,10.517,11.52
334,7.65,8.397,9.406,10.526,11.529
335,7.656,8.404,9.414,10.535,11.539
336,7.662,8.411,9.422,10.544,11.549
337,7.669,8.418,9.429,10.553,11.559
338,7.675,8.425,9.437,10.562,11.569
339,7.682,8.432,9.445,10.571,11.579
340,7.688,8.439,9.453,10.58,11.589
341,7.694,8.446,9.461,10.589,11.599
342,7.701,8.452,9.469,10.597,11.608
343,7.707,8.459,9.477,10.606,11.618
344,7.713,8.466,9.484,10.615,11.628
345,7.719,8.473,9.492,10.624,11.638
346,7.726,8.48,9.5,10.633,11.647
347,7.732,8.487,9.508,10.642,11.657
348,7.738,8.494,9.516,10.65,11.667
349,7.744,8.501,9.523,10.659,11.677
350,7.751,8.508,9.531,10.668,11.686
351,7.757,8.515,9.539,10.677,11.696
352,7.763,8.521,9.546,10.685,11.705
353,7.77,8.528,9.554,10.694,11.715
354,7.776,8.535,9.562,10.703,11.725
355,7.782,8.542,9.57,10.712,11.734
356,7.788,8.549,9.577,10.72,11.744
357,7.794,8.556,9.585,10.729,11.754
358,7.801,8.562,9.593,10.738,11.763
359,7.807,8.569,9.6,10.746,11.773
360,7.813,8.576,9.608,10.755,11.783
361,7.819,8.583,9.616,10.763,11.792
362,7.825,8.589,9.623,10.772,11.802
363,7.831,8.596,9.631,10.781,11.811
364,7.837,8.603,9.638,10.789,11.821
365,7.844,8.61,9.646,10.798,11.83
366,7.85,8.616,9.654,10.807,11.84
367,7.856,8.623,9.661,10.815,11.849
368,7.862,8.63,9.669,10.824,11.859
369,7.868,8.637,9.676,10.832,11.868
370,7.874,8.643,9.684,10.841,11.878
371,7.88,8.65,9.691,10.85,11.888
372,7.886,8.657,9.699,10.858,11.897
373,7.892,8.663,9.706,10.866,11.906
374,7.898,8.67,9.714,10.875,11.916
375,7.904,8.676,9.721,10.884,11.925
376,7.91,8.683,9.729,10.892,11.935
377,7.916,8.69,9.736,10.9,11.944
378,7.922,8.696,9.744,10.909,11.954
379,7.928,8.703,9.751,10.918,11.963
380,7.934,8.71,9.759,10.926,11.972
381,7.94,8.716,9.766,10.934,11.982
382,7.946,8.723,9.774,10.943,11.991
383,7.952,8.729,9.781,10.951,12.001
384,7.958,8.736,9.789,10.96,12.01
385,7.964,8.743,9.796,10.968,12.019
386,7.97,8.749,9.804,10.977,12.029
387,7.976,8.756,9.811,10.985,12.038
388,7.982,8.762,9.818,10.993,12.047
389,7.988,8.769,9.826,11.002,12.056
390,7.994,8.775,9.833,11.01,12.066
391,8,8.782,9.84,11.018,12.075
392,8.006,8.788,9.848,11.027,12.084
393,8.012,8.795,9.855,11.035,12.094
394,8.017,8.801,9.863,11.044,12.103
395,8.023,8.808,9.87,11.052,12.112
396,8.029,8.814,9.877,11.06,12.121
397,8.035,8.821,9.885,11.068,12.131
398,8.041,8.827,9.892,11.077,12.14
399,8.047,8.834,9.899,11.085,12.149
400,8.053,8.84,9.907,11.093,12.159
401,8.059,8.847,9.914,11.102,12.168
402,8.065,8.853,9.921,11.11,12.177
403,8.07,8.86,9.928,11.118,12.186
404,8.076,8.866,9.936,11.127,12.195
405,8.082,8.872,9.943,11.135,12.204
406,8.088,8.879,9.95,11.143,12.214
407,8.094,8.885,9.958,11.151,12.223
408,8.099,8.892,9.965,11.16,12.232
409,8.105,8.898,9.972,11.168,12.241
410,8.111,8.905,9.979,11.176,12.25
411,8.117,8.911,9.987,11.184,12.259
412,8.123,8.917,9.994,11.192,12.269
413,8.128,8.924,10.001,11.201,12.278
414,8.134,8.93,10.008,11.209,12.287
415,8.14,8.936,10.015,11.217,12.296
416,8.146,8.943,10.023,11.225,12.305
417,8.151,8.949,10.03,11.234,12.314
418,8.157,8.955,10.037,11.242,12.324
419,8.163,8.962,10.044,11.25,12.333
420,8.169,8.968,10.051,11.258,12.342
421,8.174,8.975,10.059,11.266,12.351
422,8.18,8.981,10.066,11.274,12.36
423,8.186,8.987,10.073,11.283,12.369
424,8.192,8.994,10.08,11.291,12.378
425,8.197,9,10.087,11.299,12.387
426,8.203,9.006,10.094,11.307,12.396
427,8.209,9.012,10.102,11.315,12.405
428,8.214,9.019,10.109,11.323,12.414
429,8.22,9.025,10.116,11.331,12.423
430,8.226,9.031,10.123,11.34,12.432
431,8.231,9.038,10.13,11.348,12.441
432,8.237,9.044,10.137,11.356,12.45
433,8.243,9.05,10.144,11.364,12.459
434,8.249,9.056,10.152,11.372,12.469
435,8.254,9.063,10.159,11.38,12.478
436,8.26,9.069,10.166,11.388,12.487
437,8.265,9.075,10.173,11.396,12.496
438,8.271,9.081,10.18,11.404,12.505
439,8.277,9.088,10.187,11.413,12.514
440,8.282,9.094,10.194,11.421,12.523
441,8.288,9.1,10.201,11.429,12.532
442,8.294,9.106,10.208,11.437,12.541
443,8.299,9.113,10.215,11.445,12.55
444,8.305,9.119,10.222,11.453,12.559
445,8.311,9.125,10.229,11.461,12.568
446,8.316,9.131,10.237,11.469,12.577
447,8.322,9.137,10.244,11.477,12.586
448,8.327,9.144,10.251,11.485,12.595
449,8.333,9.15,10.258,11.493,12.603
450,8.339,9.156,10.265,11.501,12.612
451,8.344,9.162,10.272,11.509,12.621
452,8.35,9.169,10.279,11.517,12.63
453,8.355,9.175,10.286,11.525,12.639
454,8.361,9.181,10.293,11.533,12.648
455,8.366,9.187,10.3,11.541,12.657
456,8.372,9.193,10.307,11.549,12.666
457,8.378,9.199,10.314,11.557,12.675
458,8.383,9.206,10.321,11.565,12.684
459,8.389,9.212,10.328,11.573,12.693
460,8.394,9.218,10.335,11.581,12.702
461,8.4,9.224,10.342,11.589,12.711
462,8.405,9.23,10.349,11.597,12.72
463,8.411,9.236,10.356,11.605,12.729
464,8.417,9.242,10.363,11.613,12.738
465,8.422,9.249,10.37,11.621,12.746
466,8.428,9.255,10.377,11.629,12.755
467,8.433,9.261,10.384,11.637,12.765
468,8.439,9.267,10.391,11.645,12.773
469,8.444,9.273,10.398,11.653,12.782
470,8.45,9.279,10.405,11.661,12.791
471,8.455,9.285,10.412,11.669,12.8
472,8.461,9.291,10.419,11.677,12.809
473,8.466,9.298,10.426,11.685,12.818
474,8.472,9.304,10.433,11.693,12.827
475,8.477,9.31,10.44,11.701,12.835
476,8.483,9.316,10.447,11.709,12.844
477,8.488,9.322,10.454,11.717,12.853
478,8.494,9.328,10.46,11.725,12.862
479,8.499,9.334,10.467,11.733,12.871
480,8.505,9.34,10.474,11.74,12.88
481,8.51,9.346,10.481,11.748,12.889
482,8.516,9.353,10.488,11.756,12.898
483,8.521,9.359,10.495,11.764,12.907
484,8.527,9.365,10.502,11.772,12.915
485,8.532,9.371,10.509,11.78,12.924
486,8.538,9.377,10.516,11.788,12.933
487,8.543,9.383,10.523,11.796,12.942
488,8.549,9.389,10.53,11.804,12.951
489,8.554,9.395,10.537,11.812,12.96
490,8.56,9.401,10.544,11.82,12.968
491,8.565,9.407,10.551,11.828,12.977
492,8.571,9.413,10.557,11.836,12.986
493,8.576,9.419,10.564,11.843,12.995
494,8.581,9.425,10.571,11.851,13.004
495,8.587,9.431,10.578,11.859,13.013
496,8.592,9.437,10.585,11.867,13.021
497,8.598,9.443,10.592,11.875,13.03
498,8.603,9.449,10.599,11.883,13.039
499,8.609,9.455,10.606,11.891,13.048
500,8.614,9.461,10.613,11.899,13.057
501,8.619,9.467,10.619,11.906,13.066
502,8.625,9.474,10.626,11.914,13.074
503,8.63,9.48,10.633,11.922,13.083
504,8.636,9.485,10.64,11.93,13.092
505,8.641,9.492,10.647,11.938,13.101
506,8.647,9.498,10.654,11.946,13.11
507,8.652,9.504,10.661,11.954,13.118
508,8.657,9.51,10.667,11.962,13.127
509,8.663,9.516,10.674,11.969,13.136
510,8.668,9.522,10.681,11.977,13.145
511,8.674,9.528,10.688,11.985,13.154
512,8.679,9.534,10.695,11.993,13.163
513,8.684,9.539,10.702,12.001,13.171
514,8.69,9.545,10.708,12.009,13.18
515,8.695,9.552,10.715,12.016,13.189
516,8.7,9.557,10.722,12.024,13.198
517,8.706,9.563,10.729,12.032,13.206
518,8.711,9.569,10.736,12.04,13.215
519,8.716,9.575,10.743,12.048,13.224
520,8.722,9.581,10.749,12.056,13.233
521,8.727,9.587,10.756,12.063,13.241
522,8.733,9.593,10.763,12.071,13.25
523,8.738,9.599,10.77,12.079,13.259
524,8.743,9.605,10.777,12.087,13.268
525,8.749,9.611,10.784,12.095,13.277
526,8.754,9.617,10.79,12.103,13.285
527,8.759,9.623,10.797,12.11,13.294
528,8.765,9.629,10.804,12.118,13.303
529,8.77,9.635,10.811,12.126,13.312
530,8.775,9.641,10.817,12.134,13.32
531,8.781,9.647,10.824,12.141,13.329
532,8.786,9.653,10.831,12.149,13.338
533,8.791,9.659,10.838,12.157,13.347
534,8.797,9.665,10.845,12.165,13.355
535,8.802,9.67,10.851,12.173,13.364
536,8.807,9.676,10.858,12.181,13.373
537,8.813,9.682,10.865,12.188,13.382
538,8.818,9.688,10.872,12.196,13.39
539,8.823,9.694,10.879,12.204,13.399
540,8.829,9.7,10.885,12.212,13.408
541,8.834,9.706,10.892,12.219,13.417
542,8.839,9.712,10.899,12.227,13.425
543,8.844,9.718,10.906,12.235,13.434
544,8.85,9.724,10.912,12.243,13.443
545,8.855,9.73,10.919,12.251,13.452
546,8.86,9.735,10.926,12.258,13.46
547,8.866,9.741,10.933,12.266,13.469
548,8.871,9.747,10.939,12.274,13.478
549,8.876,9.753,10.946,12.282,13.487
550,8.881,9.759,10.953,12.289,13.495
551,8.887,9.765,10.96,12.297,13.504
552,8.892,9.771,10.966,12.305,13.513
553,8.897,9.776,10.973,12.313,13.521
554,8.902,9.782,10.98,12.32,13.53
555,8.908,9.788,10.987,12.328,13.539
556,8.913,9.794,10.993,12.336,13.548
557,8.918,9.8,11,12.344,13.556
558,8.923,9.806,11.007,12.351,13.565
559,8.929,9.812,11.013,12.359,13.574
560,8.934,9.818,11.02,12.367,13.583
561,8.939,9.824,11.027,12.375,13.591
562,8.945,9.829,11.034,12.382,13.6
563,8.95,9.835,11.04,12.39,13.609
564,8.955,9.841,11.047,12.398,13.617
565,8.96,9.847,11.054,12.406,13.626
566,8.966,9.853,11.061,12.413,13.635
567,8.971,9.859,11.067,12.421,13.643
568,8.976,9.864,11.074,12.429,13.652
569,8.981,9.87,11.081,12.437,13.661
570,8.986,9.876,11.087,12.444,13.669
571,8.992,9.882,11.094,12.452,13.678
572,8.997,9.888,11.101,12.46,13.687
573,9.002,9.894,11.107,12.468,13.696
574,9.007,9.899,11.114,12.475,13.704
575,9.012,9.905,11.121,12.483,13.713
576,9.018,9.911,11.128,12.491,13.722
577,9.023,9.917,11.134,12.498,13.731
578,9.028,9.923,11.141,12.506,13.739
579,9.033,9.928,11.148,12.514,13.748
580,9.039,9.934,11.154,12.522,13.757
581,9.044,9.94,11.161,12.529,13.765
582,9.049,9.946,11.168,12.537,13.774
583,9.054,9.952,11.174,12.545,13.783
584,9.059,9.958,11.181,12.552,13.791
585,9.064,9.963,11.188,12.56,13.8
586,9.07,9.969,11.194,12.568,13.809
587,9.075,9.975,11.201,12.576,13.818
588,9.08,9.981,11.208,12.583,13.826
589,9.085,9.987,11.214,12.591,13.835
590,9.09,9.992,11.221,12.599,13.844
591,9.096,9.998,11.228,12.607,13.852
592,9.101,10.004,11.235,12.614,13.861
593,9.106,10.01,11.241,12.622,13.87
594,9.111,10.016,11.248,12.63,13.878
595,9.116,10.021,11.255,12.637,13.887
596,9.122,10.027,11.261,12.645,13.896
597,9.127,10.033,11.268,12.653,13.904
598,9.132,10.039,11.275,12.661,13.913
599,9.137,10.045,11.281,12.668,13.922
600,9.142,10.05,11.288,12.676,13.931
601,9.147,10.056,11.295,12.684,13.939
602,9.153,10.062,11.301,12.691,13.948
603,9.158,10.068,11.308,12.699,13.957
604,9.163,10.073,11.315,12.707,13.966
605,9.168,10.079,11.321,12.715,13.974
606,9.173,10.085,11.328,12.722,13.983
607,9.178,10.091,11.335,12.73,13.991
608,9.183,10.097,11.341,12.738,14
609,9.189,10.102,11.348,12.745,14.009
610,9.194,10.108,11.355,12.753,14.018
611,9.199,10.114,11.361,12.761,14.027
612,9.204,10.12,11.368,12.768,14.035
613,9.209,10.125,11.375,12.776,14.044
614,9.214,10.131,11.381,12.784,14.053
615,9.22,10.137,11.388,12.792,14.061
616,9.225,10.143,11.395,12.799,14.07
617,9.23,10.149,11.401,12.807,14.079
618,9.235,10.154,11.408,12.815,14.087
619,9.24,10.16,11.414,12.822,14.096
620,9.245,10.166,11.421,12.83,14.105
621,9.25,10.172,11.428,12.838,14.113
622,9.256,10.177,11.434,12.846,14.122
623,9.261,10.183,11.441,12.853,14.131
624,9.266,10.189,11.448,12.861,14.14
625,9.271,10.195,11.454,12.869,14.148
626,9.276,10.2,11.461,12.876,14.157
627,9.281,10.206,11.468,12.884,14.166
628,9.286,10.212,11.474,12.892,14.175
629,9.292,10.218,11.481,12.9,14.183
630,9.297,10.223,11.488,12.907,14.192
631,9.302,10.229,11.494,12.915,14.201
632,9.307,10.235,11.501,12.923,14.209
633,9.312,10.241,11.508,12.93,14.218
634,9.317,10.246,11.514,12.938,14.227
