day,p3,p15,p50,p85,p97
67,4.137,4.622,5.287,6.039,6.723
68,4.158,4.644,5.312,6.067,6.753
69,4.179,4.667,5.337,6.095,6.784
70,4.2,4.689,5.362,6.122,6.814
71,4.221,4.712,5.386,6.149,6.843
72,4.241,4.734,5.411,6.176,6.873
73,4.261,4.755,5.435,6.203,6.903
74,4.281,4.777,5.459,6.23,6.932
75,4.301,4.799,5.483,6.256,6.96
76,4.321,4.82,5.506,6.282,6.989
77,4.341,4.841,5.53,6.308,7.018
78,4.36,4.862,5.553,6.334,7.046
79,4.379,4.883,5.576,6.36,7.074
80,4.399,4.904,5.599,6.385,7.102
81,4.418,4.924,5.621,6.411,7.129
82,4.436,4.945,5.644,6.436,7.157
83,4.455,4.965,5.666,6.46,7.184
84,4.474,4.985,5.688,6.485,7.211
85,4.492,5.005,5.71,6.51,7.238
86,4.51,5.025,5.732,6.534,7.265
87,4.529,5.044,5.754,6.558,7.291
88,4.547,5.064,5.776,6.582,7.318
89,4.565,5.083,5.797,6.606,7.344
90,4.582,5.102,5.818,6.629,7.369
91,4.6,5.121,5.839,6.653,7.395
92,4.617,5.14,5.86,6.676,7.421
93,4.635,5.159,5.881,6.7,7.446
94,4.652,5.178,5.902,6.723,7.472
95,4.669,5.197,5.922,6.746,7.497
96,4.687,5.215,5.943,6.768,7.522
97,4.703,5.233,5.963,6.791,7.547
98,4.72,5.251,5.983,6.813,7.571
99,4.737,5.27,6.003,6.836,7.596
100,4.754,5.287,6.023,6.858,7.62
101,4.77,5.305,6.043,6.88,7.644
102,4.786,5.323,6.062,6.901,7.668
103,4.803,5.34,6.082,6.923,7.692
104,4.819,5.358,6.101,6.945,7.716
105,4.835,5.375,6.12,6.966,7.739
106,4.851,5.393,6.139,6.987,7.763
107,4.867,5.41,6.158,7.009,7.786
108,4.882,5.427,6.177,7.03,7.809
109,4.898,5.444,6.196,7.051,7.832
110,4.913,5.46,6.214,7.071,7.855
111,4.929,5.477,6.233,7.092,7.878
112,4.944,5.493,6.251,7.112,7.9
113,4.959,5.51,6.269,7.133,7.922
114,4.974,5.526,6.287,7.153,7.945
115,4.989,5.542,6.305,7.173,7.967
116,5.004,5.558,6.323,7.193,7.989
117,5.019,5.575,6.341,7.213,8.011
118,5.034,5.59,6.359,7.232,8.032
119,5.048,5.606,6.376,7.252,8.054
120,5.063,5.622,6.394,7.271,8.075
121,5.077,5.637,6.411,7.291,8.096
122,5.091,5.653,6.428,7.31,8.118
123,5.106,5.668,6.445,7.329,8.139
124,5.12,5.684,6.462,7.348,8.16
125,5.134,5.699,6.479,7.367,8.18
126,5.148,5.714,6.496,7.386,8.201
127,5.162,5.729,6.512,7.404,8.221
128,5.175,5.744,6.529,7.423,8.242
129,5.189,5.759,6.545,7.441,8.262
130,5.203,5.773,6.562,7.459,8.282
131,5.216,5.788,6.578,7.477,8.302
132,5.23,5.802,6.594,7.496,8.322
133,5.243,5.817,6.61,7.513,8.342
134,5.256,5.831,6.626,7.531,8.362
135,5.269,5.845,6.642,7.549,8.381
136,5.282,5.86,6.657,7.566,8.401
137,5.295,5.874,6.673,7.584,8.42
138,5.308,5.888,6.688,7.601,8.439
139,5.321,5.902,6.704,7.619,8.458
140,5.334,5.915,6.719,7.636,8.477
141,5.346,5.929,6.734,7.653,8.496
142,5.359,5.943,6.75,7.67,8.515
143,5.372,5.956,6.765,7.687,8.533
144,5.384,5.97,6.78,7.703,8.552
145,5.396,5.983,6.794,7.72,8.571
146,5.409,5.996,6.809,7.737,8.589
147,5.421,6.009,6.824,7.753,8.607
148,5.433,6.023,6.838,7.77,8.625
149,5.445,6.036,6.853,7.786,8.643
150,5.457,6.049,6.867,7.802,8.661
151,5.469,6.061,6.882,7.818,8.679
152,5.481,6.074,6.896,7.834,8.697
153,5.492,6.087,6.91,7.85,8.714
154,5.504,6.1,6.924,7.866,8.732
155,5.516,6.112,6.938,7.882,8.749
156,5.527,6.125,6.952,7.897,8.766
157,5.539,6.137,6.966,7.913,8.784
158,5.55,6.15,6.98,7.928,8.801
159,5.561,6.162,6.993,7.944,8.818
160,5.573,6.174,7.007,7.959,8.835
161,5.584,6.186,7.021,7.974,8.852
162,5.595,6.198,7.034,7.989,8.869
163,5.606,6.21,7.047,8.004,8.885
164,5.617,6.222,7.061,8.019,8.902
165,5.628,6.234,7.074,8.034,8.919
166,5.639,6.246,7.087,8.049,8.935
167,5.65,6.258,7.1,8.064,8.951
168,5.661,6.269,7.113,8.079,8.968
169,5.671,6.281,7.126,8.093,8.984
170,5.682,6.293,7.139,8.108,9
171,5.692,6.304,7.152,8.122,9.016
172,5.703,6.316,7.165,8.137,9.032
173,5.714,6.327,7.178,8.151,9.048
174,5.724,6.338,7.19,8.165,9.064
175,5.734,6.35,7.203,8.18,9.08
176,5.745,6.361,7.215,8.194,9.096
177,5.755,6.372,7.228,8.208,9.111
178,5.765,6.383,7.24,8.222,9.127
179,5.775,6.394,7.253,8.236,9.143
180,5.786,6.405,7.265,8.25,9.158
181,5.796,6.416,7.277,8.264,9.173
182,5.806,6.427,7.289,8.277,9.189
183,5.816,6.438,7.302,8.291,9.204
184,5.825,6.449,7.314,8.305,9.219
185,5.835,6.459,7.326,8.318,9.234
186,5.845,6.47,7.338,8.332,9.25
187,5.855,6.481,7.35,8.345,9.264
188,5.865,6.491,7.361,8.359,9.279
189,5.874,6.502,7.373,8.372,9.294
190,5.884,6.512,7.385,8.385,9.309
191,5.893,6.523,7.397,8.399,9.324
192,5.903,6.533,7.408,8.412,9.339
193,5.913,6.544,7.42,8.425,9.353
194,5.922,6.554,7.431,8.438,9.368
195,5.932,6.564,7.443,8.451,9.382
196,5.941,6.574,7.454,8.464,9.397
197,5.95,6.584,7.466,8.477,9.411
198,5.959,6.595,7.477,8.49,9.426
199,5.969,6.605,7.488,8.503,9.44
200,5.978,6.615,7.5,8.515,9.454
201,5.987,6.625,7.511,8.528,9.468
202,5.996,6.635,7.522,8.541,9.483
203,6.005,6.644,7.533,8.553,9.497
204,6.014,6.654,7.544,8.566,9.511
205,6.023,6.664,7.555,8.578,9.525
206,6.032,6.674,7.566,8.591,9.539
207,6.041,6.683,7.577,8.603,9.553
208,6.05,6.693,7.588,8.616,9.567
209,6.059,6.703,7.599,8.628,9.58
210,6.067,6.712,7.609,8.64,9.594
211,6.076,6.722,7.62,8.653,9.608
212,6.085,6.731,7.631,8.665,9.622
213,6.094,6.741,7.642,8.677,9.635
214,6.102,6.75,7.652,8.689,9.649
215,6.111,6.76,7.663,8.701,9.662
216,6.119,6.769,7.673,8.713,9.676
217,6.128,6.778,7.684,8.725,9.689
218,6.136,6.788,7.694,8.737,9.703
219,6.145,6.797,7.705,8.749,9.716
220,6.153,6.806,7.715,8.761,9.729
221,6.162,6.815,7.725,8.772,9.742
222,6.17,6.825,7.736,8.784,9.756
223,6.178,6.834,7.746,8.796,9.769
224,6.187,6.843,7.756,8.807,9.782
225,6.195,6.852,7.766,8.819,9.795
226,6.203,6.861,7.777,8.831,9.808
227,6.211,6.87,7.787,8.842,9.821
228,6.22,6.879,7.797,8.854,9.834
229,6.228,6.888,7.807,8.865,9.847
230,6.236,6.896,7.817,8.877,9.86
231,6.244,6.905,7.827,8.888,9.873
232,6.252,6.914,7.837,8.9,9.885
233,6.26,6.923,7.847,8.911,9.898
234,6.268,6.932,7.857,8.922,9.911
235,6.276,6.94,7.866,8.933,9.924
236,6.284,6.949,7.876,8.945,9.936
237,6.292,6.958,7.886,8.956,9.949
238,6.299,6.966,7.896,8.967,9.961
239,6.307,6.975,7.905,8.978,9.974
240,6.315,6.983,7.915,8.989,9.986
241,6.323,6.992,7.925,9,9.999
242,6.331,7,7.934,9.011,10.011
243,6.338,7.009,7.944,9.022,10.023
244,6.346,7.017,7.953,9.033,10.036
245,6.354,7.026,7.963,9.044,10.048
246,6.361,7.034,7.972,9.055,10.06
247,6.369,7.042,7.982,9.066,10.073
248,6.377,7.051,7.991,9.076,10.085
249,6.384,7.059,8.001,9.087,10.097
250,6.392,7.067,8.01,9.098,10.109
251,6.399,7.075,8.019,9.109,10.121
252,6.407,7.084,8.029,9.119,10.133
253,6.414,7.092,8.038,9.13,10.145
254,6.421,7.1,8.047,9.14,10.157
255,6.429,7.108,8.056,9.151,10.169
256,6.436,7.116,8.066,9.162,10.181
257,6.444,7.124,8.075,9.172,10.193
258,6.451,7.132,8.084,9.182,10.204
259,6.458,7.14,8.093,9.193,10.216
260,6.465,7.148,8.102,9.203,10.228
261,6.473,7.156,8.111,9.214,10.24
262,6.48,7.164,8.12,9.224,10.251
263,6.487,7.172,8.129,9.234,10.263
264,6.494,7.18,8.138,9.245,10.275
265,6.502,7.188,8.147,9.255,10.286
266,6.509,7.196,8.156,9.265,10.298
267,6.516,7.203,8.165,9.275,10.309
268,6.523,7.211,8.173,9.285,10.321
269,6.53,7.219,8.182,9.296,10.332
270,6.537,7.227,8.191,9.306,10.344
271,6.544,7.235,8.2,9.316,10.355
272,6.551,7.242,8.209,9.326,10.367
273,6.558,7.25,8.217,9.336,10.378
274,6.565,7.258,8.226,9.346,10.389
275,6.572,7.265,8.235,9.356,10.401
276,6.579,7.273,8.243,9.366,10.412
277,6.586,7.28,8.252,9.376,10.423
278,6.593,7.288,8.261,9.386,10.434
279,6.599,7.296,8.269,9.395,10.445
280,6.606,7.303,8.278,9.405,10.457
281,6.613,7.311,8.286,9.415,10.468
282,6.62,7.318,8.295,9.425,10.479
283,6.627,7.325,8.303,9.435,10.49
284,6.634,7.333,8.312,9.445,10.501
285,6.64,7.34,8.32,9.454,10.512
286,6.647,7.348,8.329,9.464,10.523
287,6.654,7.355,8.337,9.474,10.534
288,6.66,7.363,8.345,9.483,10.545
289,6.667,7.37,8.354,9.493,10.556
290,6.674,7.377,8.362,9.503,10.567
291,6.68,7.385,8.37,9.512,10.578
292,6.687,7.392,8.379,9.522,10.589
293,6.694,7.399,8.387,9.531,10.599
294,6.7,7.407,8.395,9.541,10.61
295,6.707,7.414,8.404,9.55,10.621
296,6.713,7.421,8.412,9.56,10.632
297,6.72,7.428,8.42,9.569,10.643
298,6.727,7.435,8.428,9.579,10.653
299,6.733,7.443,8.436,9.588,10.664
300,6.74,7.45,8.445,9.598,10.675
301,6.746,7.457,8.453,9.607,10.685
302,6.753,7.464,8.461,9.616,10.696
303,6.759,7.471,8.469,9.626,10.706
304,6.766,7.478,8.477,9.635,10.717
305,6.772,7.485,8.485,9.644,10.728
306,6.778,7.493,8.493,9.654,10.738
307,6.785,7.5,8.501,9.663,10.749
308,6.791,7.507,8.509,9.672,10.759
309,6.798,7.514,8.517,9.682,10.77
310,6.804,7.521,8.525,9.691,10.78
311,6.81,7.528,8.533,9.7,10.791
312,6.817,7.535,8.541,9.709,10.801
313,6.823,7.542,8.549,9.718,10.811
314,6.829,7.549,8.557,9.727,10.822
315,6.836,7.556,8.565,9.737,10.832
316,6.842,7.563,8.573,9.746,10.843
317,6.848,7.57,8.581,9.755,10.853
318,6.855,7.577,8.589,9.764,10.863
319,6.861,7.583,8.597,9.773,10.874
320,6.867,7.59,8.604,9.782,10.884
321,6.874,7.597,8.612,9.791,10.894
322,6.88,7.604,8.62,9.8,10.904
323,6.886,7.611,8.628,9.809,10.915
324,6.892,7.618,8.636,9.818,10.925
325,6.899,7.625,8.644,9.827,10.935
326,6.905,7.631,8.651,9.836,10.945
327,6.911,7.638,8.659,9.845,10.955
328,6.917,7.645,8.667,9.854,10.965
329,6.923,7.652,8.675,9.863,10.976
330,6.929,7.659,8.682,9.872,10.986
331,6.935,7.665,8.69,9.881,10.996
332,6.942,7.672,8.698,9.89,11.006
333,6.948,7.679,8.705,9.898,11.016
334,6.954,7.686,8.713,9.907,11.026
335,6.96,7.693,8.721,9.916,11.036
336,6.966,7.699,8.728,9.925,11.046
337,6.972,7.706,8.736,9.934,11.056
338,6.978,7.713,8.744,9.943,11.066
339,6.984,7.719,8.751,9.951,11.076
340,6.99,7.726,8.759,9.96,11.086
341,6.996,7.733,8.766,9.969,11.096
342,7.003,7.739,8.774,9.978,11.106
343,7.009,7.746,8.782,9.986,11.116
344,7.015,7.753,8.789,9.995,11.126
345,7.021,7.759,8.797,10.004,11.135
346,7.027,7.766,8.804,10.013,11.145
347,7.033,7.773,8.812,10.021,11.155
348,7.039,7.779,8.819,10.03,11.165
349,7.045,7.786,8.827,10.039,11.175
350,7.051,7.792,8.834,10.047,11.185
351,7.057,7.799,8.842,10.056,11.195
352,7.063,7.806,8.85,10.065,11.204
353,7.069,7.812,8.857,10.073,11.214
354,7.075,7.819,8.864,10.082,11.224
355,7.081,7.825,8.872,10.09,11.234
356,7.087,7.832,8.879,10.099,11.243
357,7.093,7.839,8.887,10.108,11.253
358,7.099,7.845,8.894,10.116,11.263
359,7.105,7.852,8.902,10.125,11.273
360,7.111,7.858,8.909,10.133,11.282
361,7.116,7.865,8.917,10.142,11.292
362,7.122,7.871,8.924,10.151,11.302
363,7.128,7.878,8.931,10.159,11.311
364,7.134,7.884,8.939,10.168,11.321
365,7.14,7.891,8.946,10.176,11.331
366,7.146,7.897,8.954,10.185,11.34
367,7.152,7.904,8.961,10.193,11.35
368,7.158,7.91,8.968,10.202,11.36
369,7.164,7.917,8.976,10.21,11.369
370,7.17,7.923,8.983,10.218,11.379
371,7.175,7.93,8.99,10.227,11.388
372,7.181,7.936,8.998,10.236,11.398
373,7.187,7.943,9.005,10.244,11.407
374,7.193,7.949,9.013,10.252,11.417
375,7.199,7.956,9.02,10.261,11.427
376,7.205,7.962,9.027,10.269,11.436
377,7.211,7.968,9.034,10.278,11.446
378,7.216,7.975,9.042,10.286,11.455
379,7.222,7.981,9.049,10.294,11.465
380,7.228,7.988,9.056,10.303,11.474
381,7.234,7.994,9.064,10.311,11.484
382,7.24,8,9.071,10.32,11.493
383,7.246,8.007,9.078,10.328,11.503
384,7.251,8.013,9.085,10.336,11.512
385,7.257,8.02,9.093,10.345,11.522
386,7.263,8.026,9.1,10.353,11.531
387,7.269,8.032,9.107,10.361,11.54
388,7.275,8.039,9.114,10.37,11.55
389,7.28,8.045,9.122,10.378,11.559
390,7.286,8.052,9.129,10.386,11.569
391,7.292,8.058,9.136,10.395,11.578
392,7.298,8.064,9.143,10.403,11.588
393,7.304,8.071,9.151,10.411,11.597
394,7.309,8.077,9.158,10.419,11.606
395,7.315,8.083,9.165,10.428,11.616
396,7.321,8.09,9.172,10.436,11.625
397,7.327,8.096,9.179,10.444,11.634
398,7.332,8.102,9.187,10.453,11.644
399,7.338,8.109,9.194,10.461,11.653
400,7.344,8.115,9.201,10.469,11.662
401,7.35,8.121,9.208,10.477,11.672
402,7.355,8.128,9.215,10.486,11.681
403,7.361,8.134,9.223,10.494,11.69
404,7.367,8.14,9.23,10.502,11.7
405,7.373,8.147,9.237,10.51,11.709
406,7.378,8.153,9.244,10.518,11.718
407,7.384,8.159,9.251,10.527,11.728
408,7.39,8.165,9.258,10.535,11.737
409,7.396,8.172,9.265,10.543,11.746
410,7.401,8.178,9.273,10.551,11.755
411,7.407,8.184,9.28,10.559,11.765
412,7.413,8.191,9.287,10.568,11.774
413,7.418,8.197,9.294,10.576,11.783
414,7.424,8.203,9.301,10.584,11.792
415,7.43,8.209,9.308,10.592,11.801
416,7.435,8.216,9.315,10.6,11.811
417,7.441,8.222,9.322,10.608,11.82
418,7.447,8.228,9.329,10.617,11.829
419,7.453,8.234,9.337,10.625,11.838
420,7.458,8.241,9.344,10.633,11.848
421,7.464,8.247,9.351,10.641,11.857
422,7.47,8.253,9.358,10.649,11.866
423,7.475,8.26,9.365,10.657,11.875
424,7.481,8.266,9.372,10.665,11.884
425,7.487,8.272,9.379,10.674,11.893
426,7.492,8.278,9.386,10.682,11.903
427,7.498,8.284,9.393,10.69,11.912
428,7.504,8.291,9.4,10.698,11.921
429,7.51,8.297,9.407,10.706,11.93
430,7.515,8.303,9.414,10.714,11.939
431,7.521,8.309,9.421,10.722,11.948
432,7.527,8.316,9.429,10.73,11.957
433,7.532,8.322,9.436,10.738,11.966
434,7.538,8.328,9.443,10.746,11.976
435,7.543,8.334,9.45,10.755,11.985
436,7.549,8.341,9.457,10.763,11.994
437,7.555,8.347,9.464,10.771,12.003
438,7.56,8.353,9.471,10.779,12.012
439,7.566,8.359,9.478,10.787,12.021
440,7.572,8.365,9.485,10.795,12.03
441,7.577,8.372,9.492,10.803,12.039
442,7.583,8.378,9.499,10.811,12.048
443,7.589,8.384,9.506,10.819,12.057
444,7.594,8.39,9.513,10.827,12.066
445,7.6,8.396,9.52,10.835,12.076
446,7.606,8.403,9.527,10.843,12.085
447,7.611,8.409,9.534,10.851,12.094
448,7.617,8.415,9.541,10.859,12.103
449,7.623,8.421,9.548,10.867,12.112
450,7.628,8.427,9.555,10.875,12.121
451,7.634,8.433,9.562,10.883,12.13
452,7.639,8.44,9.569,10.891,12.139
453,7.645,8.446,9.576,10.899,12.148
454,7.651,8.452,9.583,10.907,12.157
455,7.656,8.458,9.59,10.915,12.166
456,7.662,8.464,9.597,10.923,12.175
457,7.668,8.47,9.604,10.931,12.184
458,7.673,8.477,9.611,10.939,12.193
459,7.679,8.483,9.618,10.947,12.202
460,7.684,8.489,9.625,10.955,12.211
461,7.69,8.495,9.632,10.963,12.22
462,7.696,8.501,9.639,10.971,12.229
463,7.701,8.507,9.646,10.979,12.238
464,7.707,8.514,9.653,10.987,12.247
465,7.712,8.52,9.66,10.995,12.256
466,7.718,8.526,9.667,11.003,12.265
467,7.724,8.532,9.674,11.011,12.274
468,7.729,8.538,9.681,11.019,12.283
469,7.735,8.544,9.687,11.027,12.292
470,7.74,8.55,9.694,11.035,12.301
471,7.746,8.557,9.701,11.043,12.31
472,7.752,8.563,9.708,11.051,12.319
473,7.757,8.569,9.715,11.059,12.327
474,7.763,8.575,9.722,11.067,12.336
475,7.768,8.581,9.729,11.075,12.345
476,7.774,8.587,9.736,11.083,12.355
477,7.779,8.593,9.743,11.09,12.363
478,7.785,8.6,9.75,11.098,12.372
479,7.791,8.606,9.757,11.106,12.381
480,7.796,8.612,9.764,11.114,12.39
481,7.802,8.618,9.771,11.122,12.399
482,7.807,8.624,9.778,11.13,12.408
483,7.813,8.63,9.785,11.138,12.417
484,7.819,8.636,9.792,11.146,12.426
485,7.824,8.642,9.799,11.154,12.435
486,7.83,8.649,9.805,11.162,12.444
487,7.835,8.655,9.812,11.17,12.453
488,7.841,8.661,9.819,11.178,12.462
489,7.846,8.667,9.826,11.186,12.47
490,7.852,8.673,9.833,11.193,12.479
491,7.858,8.679,9.84,11.201,12.488
492,7.863,8.685,9.847,11.209,12.497
493,7.869,8.691,9.854,11.217,12.506
494,7.874,8.698,9.861,11.225,12.515
495,7.88,8.704,9.868,11.233,12.524
496,7.885,8.71,9.875,11.241,12.533
497,7.891,8.716,9.882,11.249,12.542
498,7.897,8.722,9.889,11.257,12.551
499,7.902,8.728,9.895,11.265,12.56
500,7.908,8.734,9.902,11.273,12.568
501,7.913,8.74,9.909,11.281,12.577
502,7.919,8.746,9.916,11.288,12.586
503,7.924,8.753,9.923,11.296,12.595
504,7.93,8.759,9.93,11.304,12.604
505,7.936,8.765,9.937,11.312,12.613
506,7.941,8.771,9.944,11.32,12.622
507,7.947,8.777,9.951,11.328,12.631
508,7.952,8.783,9.958,11.336,12.64
509,7.958,8.789,9.964,11.344,12.648
510,7.963,8.795,9.971,11.352,12.657
511,7.969,8.801,9.978,11.359,12.666
512,7.974,8.807,9.985,11.367,12.675
513,7.98,8.813,9.992,11.375,12.684
514,7.985,8.82,9.999,11.383,12.693
515,7.991,8.826,10.006,11.391,12.702
516,7.997,8.832,10.013,11.399,12.71
517,8.002,8.838,10.02,11.407,12.719
518,8.008,8.844,10.027,11.415,12.728
519,8.013,8.85,10.033,11.423,12.737
520,8.019,8.856,10.04,11.43,12.746
521,8.024,8.862,10.047,11.438,12.755
522,8.03,8.868,10.054,11.446,12.764
523,8.035,8.874,10.061,11.454,12.773
524,8.041,8.88,10.068,11.462,12.781
525,8.046,8.886,10.075,11.47,12.79
526,8.052,8.893,10.082,11.478,12.799
527,8.057,8.899,10.088,11.486,12.808
528,8.063,8.905,10.095,11.493,12.817
529,8.068,8.911,10.102,11.501,12.826
530,8.074,8.917,10.109,11.509,12.834
531,8.079,8.923,10.116,11.517,12.843
532,8.085,8.929,10.123,11.525,12.852
533,8.091,8.935,10.13,11.533,12.861
534,8.096,8.941,10.137,11.541,12.87
535,8.101,8.947,10.143,11.548,12.879
536,8.107,8.953,10.15,11.556,12.888
537,8.112,8.959,10.157,11.564,12.896
538,8.118,8.965,10.164,11.572,12.905
539,8.124,8.971,10.171,11.58,12.914
540,8.129,8.977,10.178,11.588,12.923
541,8.135,8.983,10.185,11.595,12.932
542,8.14,8.989,10.191,11.603,12.941
543,8.146,8.996,10.198,11.611,12.949
544,8.151,9.002,10.205,11.619,12.958
545,8.157,9.008,10.212,11.627,12.967
546,8.162,9.014,10.219,11.635,12.976
547,8.168,9.02,10.226,11.642,12.984
548,8.173,9.026,10.232,11.65,12.993
549,8.178,9.032,10.239,11.658,13.002
550,8.184,9.038,10.246,11.666,13.011
551,8.189,9.044,10.253,11.674,13.02
552,8.195,9.05,10.26,11.682,13.029
553,8.2,9.056,10.267,11.689,13.037
554,8.206,9.062,10.273,11.697,13.046
555,8.211,9.068,10.28,11.705,13.055
556,8.217,9.074,10.287,11.713,13.064
557,8.222,9.08,10.294,11.721,13.073
558,8.228,9.086,10.301,11.729,13.082
559,8.233,9.092,10.308,11.736,13.09
560,8.239,9.098,10.314,11.744,13.099
561,8.244,9.104,10.321,11.752,13.108
562,8.25,9.11,10.328,11.76,13.117
563,8.255,9.116,10.335,11.768,13.126
564,8.261,9.122,10.342,11.775,13.134
565,8.266,9.128,10.349,11.783,13.143
566,8.272,9.134,10.355,11.791,13.152
567,8.277,9.14,10.362,11.799,13.161
568,8.283,9.146,10.369,11.807,13.17
569,8.288,9.152,10.376,11.815,13.178
570,8.294,9.158,10.383,11.822,13.187
571,8.299,9.164,10.39,11.83,13.196
572,8.304,9.17,10.396,11.838,13.205
573,8.31,9.176,10.403,11.846,13.214
574,8.315,9.182,10.41,11.854,13.222
575,8.321,9.188,10.417,11.861,13.231
576,8.326,9.194,10.424,11.869,13.24
577,8.332,9.2,10.43,11.877,13.249
578,8.337,9.206,10.437,11.885,13.257
579,8.343,9.212,10.444,11.893,13.266
580,8.348,9.218,10.451,11.901,13.275
581,8.353,9.224,10.458,11.908,13.284
582,8.359,9.23,10.465,11.916,13.293
583,8.364,9.236,10.471,11.924,13.301
584,8.37,9.242,10.478,11.932,13.31
585,8.375,9.248,10.485,11.94,13.319
586,8.381,9.254,10.492,11.947,13.328
587,8.386,9.26,10.499,11.955,13.337
588,8.392,9.266,10.505,11.963,13.345
589,8.397,9.272,10.512,11.971,13.354
590,8.402,9.278,10.519,11.979,13.363
591,8.408,9.284,10.526,11.986,13.372
592,8.413,9.29,10.533,11.994,13.381
593,8.419,9.296,10.539,12.002,13.389
594,8.424,9.302,10.546,12.01,13.398
595,8.43,9.308,10.553,12.017,13.407
596,8.435,9.314,10.56,12.025,13.416
597,8.44,9.32,10.567,12.033,13.425
598,8.446,9.326,10.573,12.041,13.433
599,8.451,9.332,10.58,12.049,13.442
600,8.457,9.338,10.587,12.057,13.451
601,8.462,9.344,10.594,12.064,13.46
602,8.468,9.35,10.601,12.072,13.468
603,8.473,9.356,10.607,12.08,13.477
604,8.478,9.362,10.614,12.088,13.486
605,8.484,9.368,10.621,12.096,13.495
606,8.489,9.374,10.628,12.103,13.504
607,8.495,9.38,10.635,12.111,13.513
608,8.5,9.386,10.641,12.119,13.521
609,8.505,9.392,10.648,12.127,13.53
610,8.511,9.398,10.655,12.135,13.539
611,8.516,9.404,10.662,12.142,13.548
612,8.522,9.41,10.669,12.15,13.557
613,8.527,9.416,10.675,12.158,13.565
614,8.533,9.422,10.682,12.166,13.574
615,8.538,9.428,10.689,12.174,13.583
616,8.543,9.434,10.696,12.181,13.592
617,8.549,9.44,10.703,12.189,13.6
618,8.554,9.446,10.709,12.197,13.609
619,8.56,9.452,10.716,12.205,13.618
620,8.565,9.458,10.723,12.213,13.627
621,8.571,9.464,10.73,12.221,13.636
622,8.576,9.47,10.737,12.228,13.645
623,8.581,9.476,10.743,12.236,13.653
624,8.587,9.482,10.75,12.244,13.662
625,8.592,9.488,10.757,12.252,13.671
626,8.598,9.494,10.764,12.26,13.68
627,8.603,9.5,10.771,12.267,13.689
628,8.608,9.506,10.777,12.275,13.697
629,8.614,9.512,10.784,12.283,13.706
630,8.619,9.518,10.791,12.291,13.715
631,8.625,9.523,10.798,12.299,13.724
632,8.63,9.529,10.805,12.306,13.733
633,8.636,9.535,10.811,12.314,13.741
634,8.641,9.541,10.818,12.322,13.75
